text,topic,topic_int
What Happened to Your Raise? It Could Have Become a Bonus,Business,1
Leadership From Top? Not Here,Sports,0
Tesla’s Radical New Pay Deal for Musk: All or Nothing,Business,1
"‘The Alienist’ Season 1, Episode 8: Home to Roost",Culture,3
"Coursing through pop culture, this attitude puts the onus on women to improve their self-esteem instead of criticizing societal beauty standards.",Culture,3
"The showing was the weakest in nearly a year and followed two robust increases. But unemployment fell to 4.5 percent, the lowest in almost a decade.",Business,1
"For all its melancholy, “The Leftovers” rarely gets enough credit for its humor.",Culture,3
The idea of being kept in the dark — of the toll that secrets can take — reverberated through the episode.,Culture,3
"A Tournament for All the World, but a Trifle for the United States",Sports,0
Crossword-Solving: A Search for Connections and Answers,Culture,3
"It’s not just sluggers earning fat contracts anymore. Outfielders like Kevin Kiermaier, whose great defense is highlighted by new technology, are newly getting their due.",Sports,0
"A Tournament for All the World, but a Trifle for the United States",Sports,0
"Mr. Baldwin’s recent attack on Dylan Farrow, who has accused Woody Allen of abuse, has drawn sharp criticism. Some viewers say his words undercut his Trump satire.",Culture,3
Eat: Chocolate for the Heart,Science,2
Upending a Whodunit,Culture,3
"Deposit Is In,  But Colleges Keep Calling",Business,1
‘Here and Now’ Season 1 Finale: Baby’s on Fire,Culture,3
"A Student Loan Fix, With Catches",Business,1
A Provocateur in a Blood-Dripping Appearance,Culture,3
Stephen Colbert on the Stormy Daniels Interview: ‘It All Felt True’,Culture,3
Raids at 7-Elevens Signal Shift In How U.S. Polices Immigrants,Business,1
A Restless and Revising Playwright,Culture,3
We asked readers to suggest actors for the HBO mini-series about the 2016 presidential campaign from the journalists behind “Game Change.”,Culture,3
New Zealand Came First in 2011 Thiel Application,Business,1
"This week’s episode, directed by the Trek veteran Jonathan Frakes, unfolded in a parallel universe filled with plot twists and death.",Culture,3
Break That Binds Norway,Sports,0
Fasting before exercise may have beneficial effects on fat cells.,Science,2
"In this Tracy Letts play, an Everyman suddenly realizes he doesn’t believe in God and goes about re-examining all aspects of his life.",Culture,3
 Dueling Ideals: Host Olympics or Curb Dopers,Sports,0
A Marathon in Under 2 Hours,Science,2
Met Opera Fires Levine Over Sex Abuse Findings,Culture,3
"This week Paige took her spy game to a new level, but it was unclear whether she was prepared for the consequences.",Culture,3
The sport’s governing bodies are taking a crazy quilt of regulations and boiling them down to a maxim: Use common sense.,Sports,0
What Happened in the NCAA Tournament First Round,Sports,0
This Barack Obama Is No Mr. Nice Guy. Kehinde Wiley’s portrait of the former president contradicts the impression he often made in office of being detached.,Culture,3
Just because the end might be nigh doesn’t mean it’s a good idea to board an Australian sex cult cruise. Even if you’re man of the cloth like Matt.,Culture,3
"Juventus sends Barcelona out of the Champions League, and the temptation is to declare that the sun has set on a golden era. That would be a mistake.",Sports,0
Hearing From Readers Over Multiple Channels,Business,1
A Leaderboard With European Panache,Sports,0
What a half-century of medicine — and a population in the Amazon — can teach young people about living longer.,Science,2
"In Rural Iowa, A Future Rests On Immigrants",Business,1
"In California, a Green Split Over a Density Push",Business,1
"The three companies will create a new venture with the goal of simplifying coverage for their employees, in a move that unsettled the health care world.",Business,1
"Doctors often prescribe levothyroxine to treat an underactive thyroid, and for most it has no effect.",Science,2
The Parallels in Jake Tapper’s New Novel,Business,1
"#MeToo? Now Wait Just a Minute, Frenchwomen Say",Culture,3
"Amyotrophic lateral sclerosis, or Lou Gehrig’s disease, still has no cure.",Science,2
"This series wraps up with Lena Dunham’s Hannah feeding her infant, but the episode is about so much more than that.",Culture,3
"Its Ideals Tainted, Can Social Media Shine Again?",Business,1
Scheming for a Better Life,Culture,3
"A Student Loan Fix, With Catches",Business,1
"Nine months after Uber rolled out self-driving vehicles in Pittsburgh, the city’s relationship with the ride-hailing company has soured.",Business,1
"Despite warnings from experts, older people are using more anti-anxiety and sleep medications, putting them at risk of serious side effects and even overdoses.",Science,2
"‘Homeland,’ Season 6, Episode 10: The Facts vs. What People Want to Believe",Culture,3
The risk for hearing loss was nearly two and a half times as high in those who were deficient in iron.,Science,2
Chronically viewing the glass as half-empty inhibits one’s ability to bounce back from life’s inevitable stresses.,Science,2
The Irresistible Attraction of an Assault Rifle,Culture,3
"At Grammys, Mars and Lamar Shine",Culture,3
"In a series of early-morning tweets, the president defended his decision to impose stiff tariffs on steel and aluminum.",Business,1
Trusting   The Joke’s Not on Her,Culture,3
‘Feud: Bette and Joan’ Season Finale: Two Seconds,Culture,3
YouTube Complaints From Attacker Echoed Fight Over Ad Dollars,Business,1
Vocal Critic of Stanford Frozen Out Over Article,Sports,0
Loans Flowed to Kushner Cos. After Visits to the White House,Business,1
"“Three Billboards” and “Lady Bird” won the top movie awards at the Golden Globes. But it was the #MeToo movement, and Oprah Winfrey’s rousing speech, that defined the moment.",Culture,3
"Cleveland, which lost to the Cubs in seven games in the World Series, signed the slugger Edwin Encarnacion and will get some injured veterans back this season.",Sports,0
"You’re No. 1 (2, 3, 4, 5, 6 ... )",Sports,0
Lawsuits filed by Illinois and Washington against the Sallie Mae spinoff firm say high-risk loans were part of a growth strategy that has left former students buried in debt.,Business,1
Support for Education And Immigration Help Toronto Make the Cut,Business,1
Adult Film Star Feared for Safety Of Daughter After Trump Threat,Business,1
Trevor Noah Says Trump Should Embrace ‘Fire and Fury’ Book,Culture,3
Is Russell Westbrook’s Season the Best Ever? Some Apples and Oranges to Pick From,Sports,0
"The Senate gave final passage to a bill to combat sex trafficking, disregarding concerns in Silicon Valley that it could chill internet content and harm free speech.",Business,1
Weinstein Co. Says It Will File For Bankruptcy As Sale Falters,Business,1
Informed Patient? Don’t Bet on It,Science,2
The team’s front-office shake-up is the latest high-profile episode for a team that has long been the N.B.A. standard-bearer for soap opera storylines.,Sports,0
"Flying Taxis, Now Exiting Stealth Mode",Business,1
Social media wits saw an “It Girl” who attained power through deference. Reporters considered her a straight shooter with direct access to the president.,Business,1
An Innovative Flutist Takes the Lead,Culture,3
"Being obese, smoking or having high cholesterol, hypertension or diabetes in midlife is associated with brain changes of Alzheimer’s years later.",Science,2
Bans on Asking  About Past Pay  Can Backfire,Business,1
Gifts From Dad,Culture,3
"Chelsea under Antonio Conte is ruthless and it is clinical, and that is why it will almost surely be the Premier League champion.",Sports,0
Buying Political Ad on Facebook?  The Anonymous Need Not Apply,Business,1
"In ‘Smart’ Things Era, Sometimes Dumb Is Better",Business,1
"A Conventional Ending, and How It Came About",Culture,3
"The technology inside Amazon’s new convenience store, opening Monday in downtown Seattle, enables a shopping experience like no other — including no checkout lines. ",Business,1
Reporting on sexual harassment — including the predations of the film mogul Harvey Weinstein — was recognized by the Pulitzer board. The New York Times won in three categories.,Business,1
It’s the Patriots (and the Eagles)!,Sports,0
"After a disappointing fourth place in the halfpipe at the 2014 Games, the world’s best snowboarder had to “put it down” for another Olympic gold medal.",Sports,0
"In director Larysa Kondracki’s capable hands, “Legion” finally feels like the show its boosters always said it was.",Culture,3
"As markets seesawed and industries fretted, American officials held out the possibility that tariffs outlined this week might never go into effect.",Business,1
"You may be iron deficient without being anemic, but since your body needs iron to make red blood cells, anemia may be just down the road.",Science,2
"After last week’s delightful season premiere, Thursday’s episode was like a bad second date.",Culture,3
"In the end, the show said something quite old-fashioned, but no less essential.",Culture,3
How Many Breeds in That Doggie in the Survey?,Science,2
"Federer breezed to victory over his Swiss compatriot Stan Wawrinka in Sunday’s final of the BNP Paribas Open in Indian Wells, Calif.",Sports,0
An Everyman in Crisis,Culture,3
"A Different View, but Still a View, of the Game That Took Their Son",Sports,0
Russia’s Hooligans  Meet Their Match,Sports,0
Land Mines in the Battlefields of Home and Office,Culture,3
Network Rediscovers Trump Country With Reboot of ‘Roseanne’,Business,1
"The consumer products giant has had a base in both London and Rotterdam for decades, but it is moving to simplify its corporate structure.",Business,1
"In this endlessly fascinating work, Annie Baker, the author of “The Flick,” considers the art and necessity of fabulation.",Culture,3
New York counties that banned trans fats in foods showed steeper declines in heart disease than those that didn’t have trans fat restrictions.,Science,2
Those Decadent Disco Nights,Culture,3
A Bit of Razzle-Dazzle to Chase Away the Gloom,Culture,3
"‘The Walking Dead’ Season 7, Episode 12: Rick and Michonne Build a Future",Culture,3
Negan’s attitude is a little different without his trusty Lucille.,Culture,3
"‘The Leftovers’ Season 3, Episode 2: Swedish Physicists",Culture,3
Drugs: Hives May Not Need Steroids,Science,2
The receivers’ ill-advised boat trip and mental and other errors in Sunday’s game were just signs of the Giants’ inexperience and immaturity.,Sports,0
How to Spot a Nuclear Bomb Program? Look for Ghostly Particles,Science,2
‘A Walking Miracle’ Making a Last Stand,Sports,0
AT&amp;T Ends Huawei Deal As a Phone Is Scrutinized,Business,1
Word went out that an article would identify a creator of a list of media industry men accused of sexual harassment. Women urged writers to push back.,Business,1
Amid the Clutter Lies Some Clarity,Culture,3
"We’re able to locate sound because our brains grasp the shape of our ears. When that shape changes, we need time and practice to adapt.",Science,2
"J.K. Rowling’s ever-popular boy wizard is all grown up in this enthralling two-part play, directed with seamless magic by John Tiffany.",Culture,3
‘The Assassination of Gianni Versace’ Episode 4: Feline Intuition,Culture,3
Knees of runners showed substantially lower levels of two types of cells that can contribute to inflammation and promote arthritis.,Science,2
"The offer, which values the British satellite broadcaster at $31 billion, could derail 21st Century Fox’s long efforts to acquire full control of it.",Business,1
Cracking a Cold Case,Science,2
"Into a World of Fantasy, Where the Sorcerers Take Center Stage",Culture,3
Hot Stuff Turns Cold,Culture,3
"After buying some prints in Paris in 1886, the Dutch painter became obsessed by Japanese art. An exhibition in Amsterdam explores how that fascination shaped his work.",Culture,3
This nimble revival of Lillian Hellman’s 1939 drama features Ms. Linney and Ms. Nixon in alternating roles of Southern womanhood.,Culture,3
"A day after markets fell more than 4 percent, Wall Street enjoyed a positive Tuesday as gains in consumer stocks helped stop a global sell-off.",Business,1
Teams Change Logos at Own Risk,Sports,0
Has President Trump studied the Smoot-Hawley act of 1930? Or the McKinley tariff act of 1890? Maybe he should.,Business,1
"After waiting 108 years between titles, the Cubs returned as champions in their home opener, a first for Wrigley Field. And the raising of the World Series banner was appropriately held up by rain.",Sports,0
"Groped by Fans, Pro Cheerleaders Say Bosses Have Advice: Smile",Sports,0
Mets Find Unlikely Fixture For Bullpen,Sports,0
The data firm was hoping to do its own so-called initial coin offering and quietly helped promote other companies in the unregulated industry.,Business,1
Comcast  Tries Deal To Blunt  Disney Push,Business,1
"Constant negativity can get in the way of happiness, but with practice, you can learn to disrupt and tame negative cycles.",Science,2
"With Billions at Stake, NBC Counts Its Eyeballs Carefully",Sports,0
O’Reilly’s Spot  With Fox News Grows Shakier,Business,1
"Thinking Out Loud, But Why?",Culture,3
The Posters You Didn’t See at the Movies,Culture,3
Ramon and Audrey take some time off from their respective forms of martyrdom.,Culture,3
"When the Parents Are Back, This Time for Good",Science,2
"A seven-time Olympian, Pechstein dates back to the days of the East German sports machine and has a doping violation that remains hard to ignore.",Sports,0
Limiting Influence of Tech While Reporting on It,Business,1
Abstract Expressionists Square Off,Culture,3
"Bill Cosby’s retrial on sexual assault charges will unfold in a different America, where judge and jury have seen the power of multiple accounts by women.",Culture,3
"Mr. Zuckerberg, Facebook’s chief executive, will appear before multiple congressional committees next week. It is part of the company’s efforts to be more open about its work.",Business,1
"‘The Good Fight’ Season 1, Episode 5 Recap: Office Warfare",Culture,3
As many as 30 percent of stroke patients do not receive a clot-busting drug because a vocal minority of physicians believe it to be dangerous.,Science,2
Seeing depictions of women who mentor and rely on one another with such fierce loyalty is still a rarity on TV.,Culture,3
"Knock Knock, Walmart’s at the Door",Business,1
"N.B.A. players, past and present, have become art collectors, in part out of enthusiasm, in part as an investment, in part to have something to pass on to the next generation.",Sports,0
"Rock is underexplored onstage, but two Under the Radar shows, “How to Be a Rock Critic” and “The Hendrix Project,” grapple with its transformative power.",Culture,3
The Year of Conquering Negativity,Science,2
"After months of stalemate, American negotiators are eager for quick progress on the North American trade deal.",Business,1
"‘The Walking Dead’ Season 7, Episode 14: Did the War Just Start?",Culture,3
The ‘Proud Mary’ Problem,Culture,3
The worst flu season in nearly a decade has filled emergency rooms and strained resources at medical centers. Hospitalization and infection rates are among the highest in two decades.,Science,2
Nervous Rich People on a Not-So-Lazy Saturday,Culture,3
"Sunday’s episode was full of creative zombie high jinks, even as it explicitly laid out the defining themes of the show’s current phase.",Culture,3
The Australian champion’s comments about gays and same-sex marriage have reignited a debate about her legacy and how tennis should celebrate her.,Sports,0
"Giddy disbelief settled among fans and around the team during the run to the Premier League championship last season. But months after the fact, the glow is fading.",Sports,0
"Giant tech companies are usually challenged by start-ups. But with no obvious upstart competitors, it may be governments that pose the biggest threat.",Business,1
"While the city braces for a surge in random violence, Earn comes face-to-face with a future version of himself.",Culture,3
Accounting for Taste: Not for Your Ears Only: How Sour Gets Its Zing,Science,2
"Beijing sees its economy as robust enough to defy U.S. tariff threats, potentially leaving Washington with no choice but to escalate or back down.",Business,1
Overcoming a Blunder by Embracing It,Sports,0
"After Women Testify, Father Lunges at Sports Doctor in Court Room",Sports,0
"Sexual assault accusations piled up while the university made football its top priority. The victims, furious alumni and the authorities are seeking answers.",Sports,0
"‘Feud: Bette and Joan’ Season 1, Episode 1: Sui Generis, if Not So Generous",Culture,3
Neymar Proves Ready for the Baton,Sports,0
Policy’s Promise for Coal Power Has Its Limits,Business,1
"Like Phil Jackson and the Knicks, Doc Rivers is at a crossroads with the Clippers. But the troubles of the Clippers are mostly confined to the court.",Sports,0
"The CNBC commentator, who would replace the former Wall Street executive Gary D. Cohn, said Mr. Trump “regards himself as a free trader.”",Business,1
They Can Hit a Ball 400 Feet. But Play Catch? That’s Tricky.,Sports,0
When Retirement Doesn’t Quite Work Out,Science,2
"To my surprise, in 1995 The Times turned down my offer of the nyt.com domain. I was told that it would be confused with the internet address of New York Telephone.",Business,1
"Referring to a lie tracker that The Washington Post has been running, Mr. Kimmel declared the moment “Lie2K.”",Culture,3
"In this harshly funny performance piece, a stand-up artist translates thoughts about Latino history into hyperkinetic action.",Culture,3
"Judge Neil M. Gorsuch’s book leaves no doubt regarding his feelings. But advocates say the real battle is in state courts, not the Supreme Court.",Science,2
"As Facebook prepares to hold its annual developer conference this week, many businesses are objecting to how the company has limited their access to its users’ information.",Business,1
"After 38 Medals, Norway Feels Stress of Success",Sports,0
‘Here and Now’ Series Premiere: This Great Experiment,Culture,3
Ailes Turned Rage Into a News Empire,Business,1
Hackers draining online exchanges. Ponzi schemes. Regulators unable to keep up with heightened interest in virtual currencies. A young industry’s problems have become clearer in recent weeks.,Business,1
"As usual, Noah’s story this week was dour.",Culture,3
‘Elektra’ Shows a Path Forward,Culture,3
Newfound Freedom … to Fire,Business,1
"To understand the wild swings on Wall Street, consider a farm town, a long drought and the cost of flood insurance.",Business,1
A Sound That Chills Athletes to the Bone: Achoo!,Sports,0
"In a show about white-collar acts of aggression and one-upmanship, the poker table becomes another arena for bloodless slaughter.",Culture,3
"Governments are struggling as mounting pension obligations crowd out the rest of their budgets. Oregon faces a severe, self-inflicted crisis.",Business,1
"A Fine Romance? Yes, and a Gay History Tour",Culture,3
Dragging of Passenger Sets Off a Crisis at United,Business,1
"When scientists recently discovered a protein that may help with the detection of sour tastes, they realized it had previously been identified in the inner ear.",Science,2
The Olympic gymnasts Jordyn Wieber and Aly Raisman are among dozens of women speaking in a Michigan court this week about sexual abuse from the former team doctor.,Sports,0
Electrodes threaded into the brains of epilepsy patients enhanced their recall on word tests by about 15 percent.,Science,2
How Profiteers  Coax Women  Into Surgery,Business,1
How Do Daredevils’ Parents Relax? ‘Tranquilizers!’,Sports,0
Tagliabue’s Flawed Legacy,Sports,0
New Zealand has opened its skies to self-piloted electric planes financed by one of Google’s founders.,Business,1
"In director Larysa Kondracki’s capable hands, “Legion” finally feels like the show its boosters always said it was.",Culture,3
When Patients Hit a Medical Wall,Science,2
"Off to Soaring Start, Yanks Aren’t Looking Down",Sports,0
John Oliver’s parody of the Pence family’s book about their pet bunny has bumped pre-orders of James B. Comey’s memoir from the top spot.,Culture,3
"After a Long Season’s Bumpy Ride, the N.F.L. Looks for a Smooth Landing",Sports,0
"Light-Hearted: Starfish Carry Their Own Lanterns to See (Wait, Starfish Can See?)",Science,2
"The false warning on Jan. 13, which touched off panic and confusion, happened when an employee with a poor work record misinterpreted instructions, a state report said.",Business,1
"Balkrishna Doshi, who won this year's Pritzker Prize, asks: “What is the role of an architect today, or are we going to be useful to the society at large?”",Culture,3
"With President Trump heading to the World Economic Forum, Mr. Kimmel said he may not be ideal for a message of openness.",Culture,3
Building a Smart City (Heated Sidewalks Included),Business,1
"Former New York City Ballet dancers accused Mr. Martins of verbal and physical abuse, and an anonymous letter contained sexual harassment allegations against him.",Culture,3
"Argentines now make up the second-largest demographic in M.L.S., trailing only Americans.",Sports,0
"U.S. Women’s Soccer Team Wins More, Not Equal, Pay",Sports,0
Poking Fun and Punching Holes,Culture,3
The tech giant is transforming public education with low-cost laptops and free apps. But schools may be giving Google more than they are getting.,Business,1
"It would have been nice to return to the real world with a happy “Homeland” ending behind us, a fade into a comforting made-for-TV resolution. Oh well.",Culture,3
It’s a Dog’s World in the Lab. Where Are the Cats?,Science,2
"This week, Kevin Sr. goes a-wandering: What’s a little cultural appropriation when you’ve got a solid messiah complex?",Culture,3
"The long-awaited showdown between Rick and Negan attempted to have it both ways, and very nearly succeeded.",Culture,3
"Market veterans say that stocks are overvalued and that a downturn is overdue. The question is how messy it will be, and how investors should prepare.",Business,1
"The Mint Theater has revived this 1922 drama about two brothers: one who could do no wrong, one who could never measure up.",Culture,3
Travis Kalanick’s drive to win in life has led to a pattern of risk-taking that has at times put his ride-hailing company on the brink of implosion.,Business,1
Pairs Well With a Trade War,Business,1
"‘The Americans’ Season 5, Episode 9 Recap: Tuan on the Bus",Culture,3
"Two Players, Linked for Years, Savor Their Journey and a Championship",Sports,0
Officials to Lay a $1 Billion Fine on Wells Fargo,Business,1
"Off and Running, but Not All Are in the Race",Sports,0
"Gloria finally meets Varga, who will be her biggest foe as the season concludes.",Culture,3
"A Feast for Actors, With One in the Kitchen",Culture,3
A breakdown of Steven Spielberg’s epic adaptation of the popular and polarizing paean to nerddom.,Culture,3
The Worst That Could Happen? Going Blind,Science,2
Weight: Heavy Teens at Liver Risk,Science,2
Uber’s Culture of Gutsiness Under Review,Business,1
"Citing state laws, assisted living facilities often turn away residents in wheelchairs. A lawsuit in New York seeks to end the practice.",Science,2
Photographer Who Shot Bear Hug of Coal Baron Seeks Protections,Business,1
"Kaepernick Is Unemployed. Is It Because of His Arm, or His Knee?",Sports,0
The Slave Who Defied George Washington,Culture,3
"Severe stock swings rattled young investors, many of whom had never experienced such an intense sell-off and were left feeling “a punch to the gut.”",Business,1
Call for Privacy Hands a Crisis To Tech Giants,Business,1
"It is not hard to imagine a day soon when the Celtics and the 76ers are grappling for supremacy in the East, with the Lakers awaiting the winner, just like in the 1980s.",Sports,0
"The retailer’s stock is soaring, but it wasn’t always that way. The company had lean years in which it told investors to have faith in its long-term strategy.",Business,1
Two Teenagers Dancing to Destruction,Culture,3
"Amid the wigs, mustaches and growing self-alienation, a familiar face comes out of hiding.",Culture,3
"After a Concussion, Take a Walk",Science,2
The Royal & Ancient Golf Club and the U.S. Golf Association spent more than five years trying to modernize the Rules of Golf.,Sports,0
"Women still earn far less for every dollar that men earn, but two professors say their research shows no significant difference at the chief executive level.",Business,1
"Alternate-day fasting has gained some popularity as a weight-loss technique, but it works no better than ordinary calorie restriction.",Science,2
Researchers have identified 18 previously unknown species of Pelican spiders in Madagascar.,Science,2
How to Prevent a Racist Hoodie,Business,1
The social network was said to have reached a deal with the executive to depart after disagreements over how to address its role in spreading disinformation.,Business,1
"With many of their best barred from these Games because of doping, Russian athletes have yet to win a gold medal. Their supporters say the fault lies elsewhere.",Sports,0
"Cultural figures talk about the continued importance of the month at a time of divisiveness over race, politics and civil rights.",Culture,3
"‘Star Trek: Discovery’ Season 1, Episode 14: I’m Captain Now",Culture,3
"Staying up late is hard. Here’s the important stuff that happened in the comedy world after dark, all in one place.",Culture,3
"An exhibition at Mount Vernon and a new book return the spotlight to Ona Judge, who evaded George and Martha Washington’s dogged efforts to recapture her.",Culture,3
"Behind a new, young manager in Mickey Callaway the Mets are off to a strong start, hoping to erase the memory of last year’s implosion.",Sports,0
Condoleezza Rice and her commission have ideas for cleaning up college basketball. But they don’t challenge the longtime requirement that the players be amateurs.,Sports,0
The series is almost over. And there’s still absolutely no telling how it will end.,Culture,3
When Your Team Is 15 Minutes From Dying,Sports,0
"Titled “The Other Side,” Sunday’s episode returned to the Hilltop and found characters negotiating boundaries between opposing states.",Culture,3
"Mr. Taylor’s work was instrumental in the creation of the internet, the modern personal computer and the mouse.",Business,1
Coach Brad Stevens and the top executive Danny Ainge have turned a mediocre franchise into a playoff contender. The Knicks should watch and learn.,Sports,0
A new crop of high-tech companies have designed programs aimed at helping people prevent or even reverse their diabetes.,Science,2
‘The Assassination of Gianni Versace’ Episode 5: Dignity and Respect,Culture,3
The Google Lunar X Prize’s Race to the Moon Is Over. Nobody Won.,Science,2
"Consumer Watchdog Faces Attack by House Republicans, Memo Reveals",Business,1
Bobsledder Is 2nd Russian to Fail Doping Test at Games,Sports,0
Movies misuse music all the time. The Taraji P. Henson vehicle “Proud Mary” misuses it hilariously.,Culture,3
Black History Month: Pressing Forward on the Heels of Progress,Culture,3
"Athletes with concussions are told to give up activity, screens and school for weeks. Now experts think a little more activity helps the brain heal.",Science,2
Older? Yes. Wiser? Well ...,Culture,3
Trade Limits And Tariffs  Are Heading China’s Way,Business,1
Robert Cuccioli and Danielle Leneé star in Bruce Graham’s play that provides an unflinching look at the black-white dynamic.,Culture,3
"With Takeover, China Signals It Will Tame Debt",Business,1
With Age Comes a Mouthful of Trouble,Science,2
"Fed Plans to Keep Bolstering Growth, New Chief Says",Business,1
L.P.G.A. Tour and Trump: It’s Complicated,Sports,0
Political Support Divides Art Therapists,Science,2
A Bright Presence In Every Character,Culture,3
"Sentiment among Democrats and Republicans has swung sharply since November, creating a gap that — regardless of objective data — is wider than ever.",Business,1
Photogenic Poverty and Thrilled Tourists,Culture,3
This Town Includes Sex Offenders,Culture,3
"‘Legion’ Season 1, Episode 7 Recap: Breakthrough",Culture,3
His Majesty of Magic,Culture,3
"Don Rickles, Comedy’s Equal Opportunity Offender, Dies at 90",Culture,3
"The American, who won gold when the sport debuted at the 2014 Games, was joined on the podium by his countryman Alex Ferreira. Nico Porteous of New Zealand took bronze.",Sports,0
The No. 2 Tigers scored a touchdown in the final seconds to defeat No. 1 Alabama and avenge a loss in last year’s title game.,Sports,0
"Store-Branded Credit Cards Buoy Struggling Retailers, but Mask Their Pain",Business,1
When the Bolshoi Had an Egyptian Accent,Culture,3
Old Man on the Ducks: Taking the Long Way to the Final Four,Sports,0
"This week’s episode continued to treat unchecked ambition as a metastasizing cancer, consuming everything it touches.",Culture,3
Global Track-and-Field Ban on Russia Shows No Sign of Letting Up. Here’s Why.,Sports,0
"After a historic performance at the Olympics, some Norwegians fret that they dominate their favorite sport so much that they are ruining it.",Sports,0
A Canadian Immigrant Love Story Set to Klezmer,Culture,3
Prince Concealed His Addiction With Aspirin Bottles of Opiates at Home,Culture,3
"They Sing and Dance, but This Isn’t “La La Land’",Culture,3
"Did you happen to notice how much of the show was about one character trying to get another to say something? Dar and Max, Carrie and Quinn. Saul and everyone.",Culture,3
"Down a mine shaft in England, researchers plan to test a new method for spotting antineutrinos, which could be a sign of nuclear weapon development.",Science,2
"Like most good antagonists, Gus and Chuck seem to think they know what’s best for everyone.",Culture,3
The troubled Chinese company had spent billions of dollars buying up hotels and other high-profile properties around the world.,Business,1
"Efforts to overhaul the world’s No. 2 economy have “fallen into stalemate,” contends a report that chastises national policy makers and local officials.",Business,1
President Trump told “Fox and Friends” he had gotten his wife “a beautiful card.” Mr. Noah was incredulous.,Culture,3
"Things aren’t so happy though, despite the nice brownstone, and the return of Quinn.",Culture,3
"Williams, who announced her engagement to Alexis Ohanian in December, had published, then deleted, a photograph of herself in a mirror with the words “20 weeks.”",Sports,0
"Kikkan Randall and Jessie Diggins won gold in the women’s team sprint freestyle, the first U.S. medal in cross country since 1976.",Sports,0
The league’s onerous demand in a class-action suit on head injuries seems to show little regard for medical privacy and accepted scientific facts.,Sports,0
‘Trust’ Series Premiere Recap: Feckless Progeny,Culture,3
"For a show that celebrates the power and glory of artifice, “RuPaul’s Drag Race” is tackling some gritty realities.",Culture,3
"‘RuPaul’s Drag Race’: Season 10, Episode 5: Getting to 50",Culture,3
Carrie also must make a decision about Dar Adal. Should she sell him out?,Culture,3
"Drones Spy Caribou on a Treacherous, Icy Crossing",Science,2
"Bitter Battles in a Family, With Love",Culture,3
A Lifeline for Veterans,Culture,3
Time runs in circles in Mr. Kelly’s autobiographical memory play at La MaMa.,Culture,3
Eat; Risks of Licorice in Pregnancy,Science,2
"Despite a glut of glitches and questions bordering on the ridiculous, the game taps into our universal feeling of being aggrieved.",Culture,3
This show is a jaunty foray into a little-known footnote in American military history.,Culture,3
It is often said that people die “with” Parkinson’s rather than “of” the disease.,Science,2
Stormy Daniels Offers to Return Payment to End Deal for Her Silence,Business,1
Men’s Skating Has an Open Secret: Starvation,Sports,0
Jon Hamm plays a former diplomat who returns to Beirut to help rescue a C.I.A. spy in a thriller written by Tony Gilroy (“Bourne”).,Culture,3
Companies are expected to report billions of dollars in short-term losses stemming from the new tax law. But they are a prelude to much larger profits.,Business,1
"The Knicks’ handling of the Charles Oakley episode and the owner James L. Dolan’s comments, on top of everything else, have been stunning.",Sports,0
"Two episodes, encompassing the mystical and the silly.",Culture,3
The price tag for the least expensive model doesn’t go over well as the basketball star and his father try a different business model.,Sports,0
Bologna Blamed in Vast Listeria Outbreak,Science,2
"In Amplified World, Critics Take Aim at Referees",Sports,0
Vast Patience In Amazon Was a Virtue For Investors,Business,1
Fast-Moving Yellow Fever Circles Brazil’s Cities,Science,2
"People, especially minorities, who are at a “healthy” weight may still be at increased risk for diabetes and heart disease, a new study reports.",Science,2
The player your team took is great. Or maybe he isn’t.,Sports,0
Acupuncture produced changes in the brain and nerves that produced lasting relief from wrist pain.,Science,2
Noah said Facebook needed “to be held accountable” for a data leak that compromised millions of users’ personal information.,Culture,3
"In deciding against representing Team U.S.A. at the World Baseball Classic, the hard-throwing Syndergaard had a simple explanation: “I’m a Met.”",Sports,0
New regulations by the sport’s international governing body to address women with high levels of testosterone could keep them out of some races if they don’t take medicine to lower the hormone.,Sports,0
A Parasitic Threat,Science,2
Elizabeth and Philip bid someone a sad farewell and learn some troubling news about the past.,Culture,3
Innovations like screen readers and talking calculators can help people who cannot see.,Science,2
Let’s Look Inside,Science,2
"San Francisco's middle class, including teachers, copywriters and others, are engaging in an unusual experiment in communal living. Starcity, a new developer, is creating dorm rooms expressly for them.",Business,1
"‘Homeland,’ Season 6, Episode 12: In the Finale, Carrie Deals With Death and Betrayal",Culture,3
"‘The Walking Dead’ Season 7, Episode 9: Rick Makes Friends, Mows Zombies",Culture,3
The average game last season took three hours. We invited our reporters and readers to propose solutions. Some of them took the assignment seriously.,Sports,0
French Open Refuses To Admit Sharapova,Sports,0
How to explain the sudden dominance of the bespectacled South Korean women’s curling team? “It’s definitely the power of the garlic.”,Sports,0
"‘The Americans’ Season 5, Episode 1: New Wigs, New Family",Culture,3
A Demand For Change Backed Up By $6 Trillion,Business,1
Smokeless Tobacco Is Tough to Vaporize,Sports,0
"For the third week in a row, “The Americans” hosted a meeting of the Soviet culture appreciation society.",Culture,3
A ‘Hamlet’ Poised Between Two Worlds,Culture,3
"The drug, Ocrevus by Genentech, can also be used to treat patients with the more common form of the disease.",Science,2
Woman’s Death in Arizona Casts A Pall on Driverless Car Testing,Business,1
Trans fat bans led to fewer heart attacks and strokes.,Science,2
